"Company Name","Ticker Symbol","Animal Testing","Nuclear Weapons","Coal Power","Rainforest Destruction"
"101 Darwin","DARW",FALSE,FALSE,TRUE,TRUE
"11 Scent","SCEN",FALSE,FALSE,TRUE,FALSE
"1-800-Tax-Help","TAXH",FALSE,FALSE,TRUE,FALSE
"21 BC (21ST Century Business Community)","BCST",FALSE,FALSE,FALSE,FALSE
"24 Carrot Care","CARR",FALSE,FALSE,FALSE,FALSE
"3D Me!","DME",FALSE,FALSE,FALSE,FALSE
"3Deem Inc.","DEEM",FALSE,FALSE,FALSE,FALSE
"3Demon","DEMO",FALSE,FALSE,FALSE,FALSE
"3-DOM","DOM",FALSE,FALSE,FALSE,TRUE
"59 Souls","SOUL",FALSE,FALSE,FALSE,TRUE
"59design","DESI",FALSE,FALSE,FALSE,FALSE
"59e","E",FALSE,FALSE,TRUE,FALSE
"60 Grit","GRIT",FALSE,FALSE,FALSE,TRUE
"69 Scoops","SCOO",FALSE,FALSE,FALSE,FALSE
"70 Umpa","UMPA",TRUE,FALSE,FALSE,FALSE
"A!","A",FALSE,FALSE,TRUE,FALSE
"About Coffee","ABOU",FALSE,FALSE,FALSE,FALSE
"Absolute Coffee","ABSO",FALSE,FALSE,FALSE,FALSE
"Acacia Group","ACAC",FALSE,FALSE,FALSE,TRUE
"Accel","ACCE",FALSE,FALSE,TRUE,FALSE
"Accidency","ACCI",FALSE,FALSE,FALSE,TRUE
"Accountant Monte Cristo","ACCO",TRUE,FALSE,FALSE,FALSE
"Accruex","ACCR",FALSE,FALSE,FALSE,TRUE
"Accufarm","ACCU",FALSE,FALSE,FALSE,TRUE
"Ace Pet Styling","ACEP",FALSE,FALSE,FALSE,FALSE
"Acium","ACIU",FALSE,FALSE,FALSE,FALSE
"Aclima","ACLI",FALSE,FALSE,FALSE,TRUE
"Acrodance","ACRO",FALSE,FALSE,FALSE,TRUE
"Acruex","ACRU",FALSE,FALSE,FALSE,FALSE
"Action Floss","ACTI",FALSE,FALSE,FALSE,TRUE
"Acumentor","ACUM",TRUE,FALSE,TRUE,TRUE
"Acusage","ACUS",TRUE,FALSE,TRUE,FALSE
"AcuVirt","ACUV",TRUE,FALSE,TRUE,FALSE
"Ad Caddy","ADCA",FALSE,FALSE,FALSE,TRUE
"Ad Nation","ADNA",FALSE,FALSE,FALSE,TRUE
"ADNETWORKING.COM","ADNE",FALSE,FALSE,FALSE,FALSE
"Adornica","ADOR",FALSE,FALSE,FALSE,FALSE
"Adrenal Lines","ADRE",FALSE,FALSE,FALSE,TRUE
"ADscene","ADSC",FALSE,FALSE,FALSE,FALSE
"AdSlide.com","ADSL",FALSE,FALSE,FALSE,TRUE
"Advanced Aluminum Siding","ADVA",TRUE,FALSE,FALSE,FALSE
"Adventure Camping","ADVE",FALSE,FALSE,FALSE,FALSE
"ADvise","ADVI",FALSE,FALSE,FALSE,FALSE
"Advocate Services","ADVO",FALSE,FALSE,TRUE,FALSE
"Aecium Finance","AECI",FALSE,FALSE,FALSE,FALSE
"Aeora","AEOR",FALSE,FALSE,FALSE,FALSE
"Aesthetic Bug","AEST",TRUE,FALSE,FALSE,TRUE
"Affluential Inc.","AFFL",FALSE,FALSE,FALSE,FALSE
"Affordable Beauty","AFFO",FALSE,FALSE,FALSE,TRUE
"Afility","AFIL",FALSE,FALSE,FALSE,FALSE
"African Internet Solutions.","AFRI",FALSE,FALSE,FALSE,TRUE
"Afteria","AFTE",FALSE,FALSE,FALSE,FALSE
"Agiotage","AGIO",FALSE,FALSE,TRUE,TRUE
"Agoratribe","AGOR",FALSE,FALSE,FALSE,FALSE
"Agriox","AGRI",FALSE,FALSE,FALSE,TRUE
"Agtreo","AGTR",FALSE,FALSE,FALSE,FALSE
"Aimcore.com","AIMC",FALSE,FALSE,FALSE,FALSE
"Air 1","AIR",FALSE,FALSE,FALSE,TRUE
"Air Bingo","AIRB",FALSE,FALSE,FALSE,FALSE
"Air Pool","AIRP",FALSE,FALSE,TRUE,FALSE
"Air Sick","AIRS",FALSE,FALSE,FALSE,FALSE
"Air Trust","AIRT",FALSE,FALSE,FALSE,TRUE
"AirForce","AIRF",FALSE,FALSE,FALSE,TRUE
"AirHead","AIRH",FALSE,FALSE,TRUE,TRUE
"Airvoyance","AIRV",FALSE,FALSE,FALSE,FALSE
"Alazra","ALAZ",FALSE,FALSE,FALSE,TRUE
"Alecyr","ALEC",FALSE,FALSE,FALSE,TRUE
"Alfalfa Forest","ALFA",FALSE,FALSE,FALSE,FALSE
"AlienParty.com","ALIE",FALSE,FALSE,TRUE,TRUE
"Alignment","ALIG",FALSE,FALSE,FALSE,TRUE
